Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,100n,
C2,CP_Axial_L21.0mm_D8.0mm_P28.00mm_Horizontal,1,22uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D2, D3, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,18,BAT85,
D19,LED_D5.0mm,1,BOOT,
D20,LED_D5.0mm,1,POWER,
D21,LED_D5.0mm,1,DRIVE,
J1,PinHeader_1x08_P2.54mm_Horizontal,1,1x8 PinHeader,
K1,PinHeader_2x10_P2.54mm_Vertical,1,FRB KB,
"R1, R2, R3, R4, R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,100k,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,180,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
SW1,SW_Cherry_MX_Mistrum,1,1,
SW10,SW_Cherry_MX_Mistrum,1,E,
SW11,SW_Cherry_MX_Mistrum,1,D,
SW12,SW_Cherry_MX_Mistrum,1,X,
SW13,SW_Cherry_MX_Mistrum,1,4,
SW14,SW_Cherry_MX_Mistrum,1,R,
SW15,SW_Cherry_MX_Mistrum,1,F,
SW16,SW_Cherry_MX_Mistrum,1,C,
SW17,SW_Cherry_MX_Mistrum,1,5,
SW18,SW_Cherry_MX_Mistrum,1,T,
SW19,SW_Cherry_MX_Mistrum,1,G,
SW2,SW_Cherry_MX_Mistrum,1,Q,
SW20,SW_Cherry_MX_Mistrum,1,V,
SW21,SW_Cherry_MX_Mistrum,1,6,
SW22,SW_Cherry_MX_Mistrum,1,Y,
SW23,SW_Cherry_MX_Mistrum,1,H,
SW24,SW_Cherry_MX_Mistrum,1,B,
SW25,SW_Cherry_MX_Mistrum,1,7,
SW26,SW_Cherry_MX_Mistrum,1,U,
SW27,SW_Cherry_MX_Mistrum,1,J,
SW28,SW_Cherry_MX_Mistrum,1,N,
SW29,SW_Cherry_MX_Mistrum,1,8,
SW3,SW_Cherry_MX_Mistrum,1,A,
SW30,SW_Cherry_MX_Mistrum,1,I,
SW31,SW_Cherry_MX_Mistrum,1,K,
SW32,SW_Cherry_MX_Mistrum,1,M,
SW33,SW_Cherry_MX_Mistrum,1,9,
SW34,SW_Cherry_MX_Mistrum,1,O,
SW35,SW_Cherry_MX_Mistrum,1,L,
SW36,SW_Cherry_MX_Mistrum,1,SS,
SW37,SW_Cherry_MX_Mistrum,1,0,
SW38,SW_Cherry_MX_Mistrum,1,P,
SW39,SW_Cherry_MX_Mistrum,1,CR,
SW4,SW_Cherry_MX_Mistrum,1,CS,
SW40,SW_Cherry_MX_Mistrum,1,SP,
SW41,SW_Cherry_MX_Mistrum,1,LEFT,
SW42,SW_Cherry_MX_Mistrum,1,DOWN,
SW43,SW_Cherry_MX_Mistrum,1,UP,
SW44,SW_Cherry_MX_Mistrum,1,RIGHT,
SW45,SW_Cherry_MX_Mistrum,1,DEL,
SW46,SW_Cherry_MX_Mistrum,1,NMI,
SW47,SW_Cherry_MX_Mistrum,1,RESET,
SW48,SW_Cherry_MX_Mistrum,1,MISTRUM (SUPER),
SW5,SW_Cherry_MX_Mistrum,1,2,
SW6,SW_Cherry_MX_Mistrum,1,W,
SW7,SW_Cherry_MX_Mistrum,1,S,
SW8,SW_Cherry_MX_Mistrum,1,Z,
SW9,SW_Cherry_MX_Mistrum,1,3,
"U1, U2",DIP-14_W7.62mm,2,4066,
