Designator,Mid X,Mid Y,Rotation,Layer
C1,281.5,39.5,90.0,top
C2,260.5,40.0,0.0,top
D1,100.0,40.0,90.0,top
D10,119.7647,40.0,90.0,top
D11,124.7059,40.0,90.0,top
D12,129.6471,40.0,90.0,top
D13,134.5882,40.0,90.0,top
D14,164.2353,40.0,90.0,top
D15,169.1765,40.0,90.0,top
D16,174.1176,40.0,90.0,top
D17,179.0588,40.0,90.0,top
D18,184.0,40.0,90.0,top
D19,293.5,50.0,0.0,top
D2,104.9412,40.0,90.0,top
D20,71.275,50.0,0.0,top
D21,304.0,50.0,0.0,top
D3,109.8824,40.0,90.0,top
D4,114.8235,40.0,90.0,top
D5,139.5294,40.0,90.0,top
D6,144.4706,40.0,90.0,top
D7,149.4118,40.0,90.0,top
D8,154.3529,40.0,90.0,top
D9,159.2941,40.0,90.0,top
J1,260.5,57.0,90.0,bottom
K1,60.0,-64.0,90.0,top
R1,202.0,40.0,90.0,top
R2,207.0,40.0,270.0,top
R3,212.0,40.0,270.0,top
R4,216.5,40.0,90.0,top
R5,221.5,40.0,90.0,top
R6,226.5,40.0,90.0,top
R7,231.0,40.0,90.0,top
R8,236.22,40.0,270.0,top
SW1,52.46,15.42,0.0,top
SW10,99.96,-3.58,0.0,top
SW11,104.96,-22.58,0.0,top
SW12,95.54,-41.58,0.0,top
SW13,109.46,15.42,0.0,top
SW14,118.96,-3.58,0.0,top
SW15,123.96,-22.58,0.0,top
SW16,114.54,-41.58,0.0,top
SW17,128.46,15.42,0.0,top
SW18,137.96,-3.58,0.0,top
SW19,142.96,-22.58,0.0,top
SW2,61.96,-3.58,0.0,top
SW20,133.54,-41.58,0.0,top
SW21,147.46,15.42,0.0,top
SW22,156.96,-3.58,0.0,top
SW23,161.96,-22.58,0.0,top
SW24,152.54,-41.58,0.0,top
SW25,166.46,15.42,0.0,top
SW26,175.96,-3.58,0.0,top
SW27,180.96,-22.58,0.0,top
SW28,171.54,-41.58,0.0,top
SW29,185.46,15.42,0.0,top
SW3,66.96,-22.58,0.0,top
SW30,194.96,-3.58,0.0,top
SW31,199.96,-22.58,0.0,top
SW32,190.54,-41.58,0.0,top
SW33,204.46,15.42,0.0,top
SW34,213.96,-3.58,0.0,top
SW35,218.96,-22.58,0.0,top
SW36,209.54,-41.58,0.0,top
SW37,223.46,15.42,0.0,top
SW38,232.96,-3.58,0.0,top
SW39,237.96,-22.58,0.0,top
SW4,57.54,-41.58,0.0,top
SW40,135.94,-60.58,0.0,top
SW41,261.94,-60.58,0.0,top
SW42,280.94,-60.58,0.0,top
SW43,280.94,-41.58,0.0,top
SW44,299.94,-60.58,0.0,top
SW45,242.42,15.42,0.0,top
SW46,299.94,-3.58,0.0,top
SW47,299.94,15.42,0.0,top
SW48,228.54,-41.58,0.0,top
SW5,71.46,15.42,0.0,top
SW6,80.96,-3.58,0.0,top
SW7,85.96,-22.58,0.0,top
SW8,76.54,-41.58,0.0,top
SW9,90.46,15.42,0.0,top
U1,84.625,40.0,90.0,top
U2,60.0,40.0,90.0,top
