Designator,Footprint,Quantity,Value,LCSC Part #
SW10,SW_Cherry_MX_Mistrum_maskadira,1,E,
SW36,SW_Cherry_MX_Mistrum_maskadira,1,SS,
SW22,SW_Cherry_MX_Mistrum_maskadira,1,Y,
SW38,SW_Cherry_MX_Mistrum_maskadira,1,P,
SW5,SW_Cherry_MX_Mistrum_maskadira,1,2,
SW21,SW_Cherry_MX_Mistrum_maskadira,1,6,
SW6,SW_Cherry_MX_Mistrum_maskadira,1,W,
SW12,SW_Cherry_MX_Mistrum_maskadira,1,X,
SW37,SW_Cherry_MX_Mistrum_maskadira,1,0,
SW29,SW_Cherry_MX_Mistrum_maskadira,1,8,
SW3,SW_Cherry_MX_Mistrum_maskadira,1,A,
SW30,SW_Cherry_MX_Mistrum_maskadira,1,I,
SW20,SW_Cherry_MX_Mistrum_maskadira,1,V,
SW8,SW_Cherry_MX_Mistrum_maskadira,1,Z,
SW34,SW_Cherry_MX_Mistrum_maskadira,1,O,
SW32,SW_Cherry_MX_Mistrum_maskadira,1,M,
SW48,SW_Cherry_MX_Mistrum_maskadira,1,MISTRUM (SUPER),
SW18,SW_Cherry_MX_Mistrum_maskadira,1,T,
SW40,SW_Cherry_MX_Mistrum_maskadira,1,SP,
SW33,SW_Cherry_MX_Mistrum_maskadira,1,9,
SW4,SW_Cherry_MX_Mistrum_maskadira,1,CS,
SW28,SW_Cherry_MX_Mistrum_maskadira,1,N,
SW7,SW_Cherry_MX_Mistrum_maskadira,1,S,
SW2,SW_Cherry_MX_Mistrum_maskadira,1,Q,
SW1,SW_Cherry_MX_Mistrum_maskadira,1,1,
SW25,SW_Cherry_MX_Mistrum_maskadira,1,7,
SW47,SW_Cherry_MX_Mistrum_maskadira,1,RESET,
SW13,SW_Cherry_MX_Mistrum_maskadira,1,4,
SW46,SW_Cherry_MX_Mistrum_maskadira,1,NMI,
SW27,SW_Cherry_MX_Mistrum_maskadira,1,J,
SW44,SW_Cherry_MX_Mistrum_maskadira,1,RIGHT,
SW9,SW_Cherry_MX_Mistrum_maskadira,1,3,
SW16,SW_Cherry_MX_Mistrum_maskadira,1,C,
SW15,SW_Cherry_MX_Mistrum_maskadira,1,F,
SW39,SW_Cherry_MX_Mistrum_maskadira,1,CR,
SW14,SW_Cherry_MX_Mistrum_maskadira,1,R,
SW31,SW_Cherry_MX_Mistrum_maskadira,1,K,
SW24,SW_Cherry_MX_Mistrum_maskadira,1,B,
SW17,SW_Cherry_MX_Mistrum_maskadira,1,5,
SW43,SW_Cherry_MX_Mistrum_maskadira,1,UP,
SW11,SW_Cherry_MX_Mistrum_maskadira,1,D,
SW35,SW_Cherry_MX_Mistrum_maskadira,1,L,
SW19,SW_Cherry_MX_Mistrum_maskadira,1,G,
SW23,SW_Cherry_MX_Mistrum_maskadira,1,H,
SW41,SW_Cherry_MX_Mistrum_maskadira,1,LEFT,
SW42,SW_Cherry_MX_Mistrum_maskadira,1,DOWN,
SW45,SW_Cherry_MX_Mistrum_maskadira,1,DEL,
SW26,SW_Cherry_MX_Mistrum_maskadira,1,U,
