Designator,Mid X,Mid Y,Rotation,Layer
SW10,102.5,1.5,0.0,top
SW36,212.08,-36.5,0.0,top
SW22,159.5,1.5,0.0,top
SW38,235.5,1.5,0.0,top
SW5,74.0,20.5,0.0,top
SW21,150.0,20.5,0.0,top
SW6,83.5,1.5,0.0,top
SW12,98.08,-36.5,0.0,top
SW37,226.0,20.5,0.0,top
SW29,188.0,20.5,0.0,top
SW3,69.5,-17.5,0.0,top
SW30,197.5,1.5,0.0,top
SW20,136.08,-36.5,0.0,top
SW8,79.08,-36.5,0.0,top
SW34,216.5,1.5,0.0,top
SW32,193.08,-36.5,0.0,top
SW48,231.08,-36.5,0.0,top
SW18,140.5,1.5,0.0,top
SW40,138.48,-55.5,0.0,top
SW33,207.0,20.5,0.0,top
SW4,60.08,-36.5,0.0,top
SW28,174.08,-36.5,0.0,top
SW7,88.5,-17.5,0.0,top
SW2,64.5,1.5,0.0,top
SW1,55.0,20.5,0.0,top
SW25,169.0,20.5,0.0,top
SW47,302.48,20.5,0.0,top
SW13,112.0,20.5,0.0,top
SW46,302.48,1.5,0.0,top
SW27,183.5,-17.5,0.0,top
SW44,302.48,-55.5,0.0,top
SW9,93.0,20.5,0.0,top
SW16,117.08,-36.5,0.0,top
SW15,126.5,-17.5,0.0,top
SW39,240.5,-17.5,0.0,top
SW14,121.5,1.5,0.0,top
SW31,202.5,-17.5,0.0,top
SW24,155.08,-36.5,0.0,top
SW17,131.0,20.5,0.0,top
SW43,283.48,-36.5,0.0,top
SW11,107.5,-17.5,0.0,top
SW35,221.5,-17.5,0.0,top
SW19,145.5,-17.5,0.0,top
SW23,164.5,-17.5,0.0,top
SW41,264.48,-55.5,0.0,top
SW42,283.48,-55.5,0.0,top
SW45,244.96,20.5,0.0,top
SW26,178.5,1.5,0.0,top
