"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6,C12";"WN70419";2;"60p";;;
2;"T1";"TO-92_Wide";1;"KC509";;;
3;"R1";"R7";1;"4k7";;;
4;"R14";"R6";1;"82R";;;
5;"L1";"R4";1;"INDUCTOR";;;
6;"R8";"R4";1;"3k3";;;
7;"R7";"R4";1;"1k";;;
8;"R9";"R4";1;"1k8";;;
9;"R10";"R4";1;"820R";;;
10;"R11";"R4";1;"270R";;;
11;"R4";"R4";1;"100k";;;
12;"R5";"R4";1;"4k7";;;
13;"R12";"R3";1;"270R";;;
14;"R6";"R3";1;"1k";;;
15;"PR1";"PIN_ARRAY_3X1";1;"SWITCH_INV";;;
16;"K1";"TY5112011";1;"CONN_20";;;
17;"IO1";"DIP-20__300_ELL";1;"LM1886";;;
18;"IO2";"DIP-18__300_ELL";1;"LM1889";;;
19;"D1,D3,D2";"D3";3;"KA206";;;
20;"C16";"CP7";1;"47uF";;;
21;"C5";"CP5";1;"100p";;;
22;"C4";"CP4";1;"100p";;;
23;"C9";"C3";1;"10n";;;
24;"C1";"C2V8";1;"50uF";;;
25;"C14";"C2";1;"10n";;;
26;"C11,C2";"C2";2;"100n";;;
27;"C8";"C2";1;"36p";;;
28;"X1";"C2";1;"4,43MHz";;;
29;"C10";"C1V5";1;"47uF";;;
30;"C15";"C1";1;"1n";;;
31;"C13";"C1";1;"10uF";;;
32;"C7";"C1";1;"36p";;;
33;"P2";"1pin";1;"CONN_1";;;
34;"TR1";"CA6V";1;"POT";;;
35;"R2";"R2";1;"5k6";;;
36;"R3";"R2";1;"2k2";;;
37;"R13";"R2";1;"82R";;;
38;"C3";"C3";1;"100n";;;
39;"P1";"Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork";1;"CONN_1";;;
