Designator,Footprint,Quantity,Value,LCSC Part #
K1,TY5112011,1,MISTRUM_FRB_VIDEO,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,KA206,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
D4,D_DO-35_SOD27_P7.62mm_Horizontal,1,KA206,
RV1,Pot_Trim_Round_6mm,1,1k,
RV2,Pot_Trim_Round_6mm,1,2k2,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
U1,DIP-14_W7.62mm,1,74LS08,
C2,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,100n,
D2,D_DO-35_SOD27_P7.62mm_Horizontal,1,KA206,
C1,CP_Radial_D8.0mm_P3.50mm,1,50uF,
D6,D_DO-35_SOD27_P7.62mm_Horizontal,1,KA206,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
D5,D_DO-35_SOD27_P7.62mm_Horizontal,1,KA206,
J1,PinHeader_1x08_P2.54mm_Vertical,1,Konektor,
D3,D_DO-35_SOD27_P7.62mm_Horizontal,1,KA206,
U2,DIP-14_W7.62mm,1,74LS86,
